LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUusb Board,,,TOTAL,
,,,,,,8/29/19 (14145^5),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),18.20,=C5*I5,FTDI
,,,,,,,,,,
,,,,,,NOTES,,,,


